Title,Authors,Year,PDF Link
"Compositional Plan Vectors","Coline Devin, Daniel Geng, Pieter Abbeel, Trevor Darrell, Sergey Levine","2019","https://papers.nips.cc/paper_files/paper/2019/file/00989c20ff1386dc386d8124ebcba1a5-Paper.pdf"
"Learning to Propagate for Graph Meta-Learning","LU LIU, Tianyi Zhou, Guodong Long, Jing Jiang, Chengqi Zhang","2019","https://papers.nips.cc/paper_files/paper/2019/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf"
"XNAS: Neural Architecture Search with Expert Advice","Niv Nayman, Asaf Noy, Tal Ridnik, Itamar Friedman, Rong Jin, Lihi Zelnik","2019","https://papers.nips.cc/paper_files/paper/2019/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf"
"Multi-resolution Multi-task Gaussian Processes","Oliver Hamelijnck, Theodoros Damoulas, Kangrui Wang, Mark Girolami","2019","https://papers.nips.cc/paper_files/paper/2019/file/0118a063b4aae95277f0bc1752c75abf-Paper.pdf"
"Deep Equilibrium Models","Shaojie Bai, J. Zico Kolter, Vladlen Koltun","2019","https://papers.nips.cc/paper_files/paper/2019/file/01386bd6d8e091c2ab4c7c7de644d37b-Paper.pdf"
"Cross Attention Network for Few-shot Classification","Ruibing Hou, Hong Chang, Bingpeng MA, Shiguang Shan, Xilin Chen","2019","https://papers.nips.cc/paper_files/paper/2019/file/01894d6f048493d2cacde3c579c315a3-Paper.pdf"
"Order Optimal One-Shot Distributed Learning","Arsalan Sharifnassab, Saber Salehkaleybar, S. Jamaloddin Golestani","2019","https://papers.nips.cc/paper_files/paper/2019/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf"
"Exact Gaussian Processes on a Million Data Points","Ke Wang, Geoff Pleiss, Jacob Gardner, Stephen Tyree, Kilian Q. Weinberger, Andrew Gordon Wilson","2019","https://papers.nips.cc/paper_files/paper/2019/file/01ce84968c6969bdd5d51c5eeaa3946a-Paper.pdf"
"Asymmetric Valleys: Beyond Sharp and Flat Local Minima","Haowei He, Gao Huang, Yang Yuan","2019","https://papers.nips.cc/paper_files/paper/2019/file/01d8bae291b1e4724443375634ccfa0e-Paper.pdf"
"Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization","Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann","2019","https://papers.nips.cc/paper_files/paper/2019/file/021e1ea77bd91aaa0fc4d01a943a654e-Paper.pdf"
"Think out of the ""Box"": Generically-Constrained Asynchronous Composite Optimization and Hedging","Pooria Joulani, András György, Csaba Szepesvari","2019","https://papers.nips.cc/paper_files/paper/2019/file/0224cd598e48c5041c7947fd5cb20d53-Paper.pdf"
"Improved Precision and Recall Metric for Assessing Generative Models","Tuomas Kynkäänniemi, Tero Karras, Samuli Laine, Jaakko Lehtinen, Timo Aila","2019","https://papers.nips.cc/paper_files/paper/2019/file/0234c510bc6d908b28c70ff313743079-Paper.pdf"
"A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport","Arun Jambulapati, Aaron Sidford, Kevin Tian","2019","https://papers.nips.cc/paper_files/paper/2019/file/024d2d699e6c1a82c9ba986386f4d824-Paper.pdf"
"Zero-Shot Semantic Segmentation","Maxime Bucher, Tuan-Hung VU, Matthieu Cord, Patrick Pérez","2019","https://papers.nips.cc/paper_files/paper/2019/file/0266e33d3f546cb5436a10798e657d97-Paper.pdf"
"Hyperspherical Prototype Networks","Pascal Mettes, Elise van der Pol, Cees Snoek","2019","https://papers.nips.cc/paper_files/paper/2019/file/02a32ad2669e6fe298e607fe7cc0e1a0-Paper.pdf"
"Lower Bounds on Adversarial Robustness from Optimal Transport","Arjun Nitin Bhagoji, Daniel Cullina, Prateek Mittal","2019","https://papers.nips.cc/paper_files/paper/2019/file/02bf86214e264535e3412283e817deaa-Paper.pdf"
"A Nonconvex Approach for Exact and Efficient Multichannel Sparse Blind Deconvolution","Qing Qu, Xiao Li, Zhihui Zhu","2019","https://papers.nips.cc/paper_files/paper/2019/file/02e656adee09f8394b402d9958389b7d-Paper.pdf"
"Generalization of Reinforcement Learners with Working and Episodic Memory","Meire Fortunato, Melissa Tan, Ryan Faulkner, Steven Hansen, Adrià Puigdomènech Badia, Gavin Buttimore, Charles Deck, Joel Z. Leibo, Charles Blundell","2019","https://papers.nips.cc/paper_files/paper/2019/file/02ed812220b0705fabb868ddbf17ea20-Paper.pdf"
"DTWNet: a Dynamic Time Warping Network","Xingyu Cai, Tingyang Xu, Jinfeng Yi, Junzhou Huang, Sanguthevar Rajasekaran","2019","https://papers.nips.cc/paper_files/paper/2019/file/02f063c236c7eef66324b432b748d15d-Paper.pdf"
"Learning Mean-Field Games","Xin Guo, Anran Hu, Renyuan Xu, Junzi Zhang","2019","https://papers.nips.cc/paper_files/paper/2019/file/030e65da2b1c944090548d36b244b28d-Paper.pdf"
"Learning Erdos-Renyi Random Graphs via Edge Detecting Queries","Zihan Li, Matthias Fresacher, Jonathan Scarlett","2019","https://papers.nips.cc/paper_files/paper/2019/file/0336dcbab05b9d5ad24f4333c7658a0e-Paper.pdf"
"Cormorant: Covariant Molecular Neural Networks","Brandon Anderson, Truong Son Hy, Risi Kondor","2019","https://papers.nips.cc/paper_files/paper/2019/file/03573b32b2746e6e8ca98b9123f2249b-Paper.pdf"
"Flattening a Hierarchical Clustering through Active Learning","Fabio Vitale, Anand Rajagopalan, Claudio Gentile","2019","https://papers.nips.cc/paper_files/paper/2019/file/03793ef7d06ffd63d34ade9d091f1ced-Paper.pdf"
"Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves","Stefan Meintrup, Alexander Munteanu, Dennis Rohde","2019","https://papers.nips.cc/paper_files/paper/2019/file/0394ea68951e3299bcdfa75a097d7c11-Paper.pdf"
"Explicit Explore-Exploit Algorithms in Continuous State Spaces","Mikael Henaff","2019","https://papers.nips.cc/paper_files/paper/2019/file/03b264c595403666634ac75d828439bc-Paper.pdf"
"How degenerate is the parametrization of neural networks with the ReLU activation function?","Dennis Maximilian Elbrächter, Julius Berner, Philipp Grohs","2019","https://papers.nips.cc/paper_files/paper/2019/file/04115ec378e476c56d19d827bcf8db56-Paper.pdf"
"Hyperbolic Graph Convolutional Neural Networks","Ines Chami, Zhitao Ying, Christopher Ré, Jure Leskovec","2019","https://papers.nips.cc/paper_files/paper/2019/file/0415740eaa4d9decbc8da001d3fd805f-Paper.pdf"
"Spherical Text Embedding","Yu Meng, Jiaxin Huang, Guangyuan Wang, Chao Zhang, Honglei Zhuang, Lance Kaplan, Jiawei Han","2019","https://papers.nips.cc/paper_files/paper/2019/file/043ab21fc5a1607b381ac3896176dac6-Paper.pdf"
"Random Tessellation Forests","Shufei Ge, Shijia Wang, Yee Whye Teh, Liangliang Wang, Lloyd Elliott","2019","https://papers.nips.cc/paper_files/paper/2019/file/043c2ec6c6390dd0ac5519190a57c88c-Paper.pdf"
"SpArSe: Sparse Architecture Search for CNNs on Resource-Constrained Microcontrollers","Igor Fedorov, Ryan P. Adams, Matthew Mattina, Paul Whatmough","2019","https://papers.nips.cc/paper_files/paper/2019/file/044a23cadb567653eb51d4eb40acaa88-Paper.pdf"
"Capacity Bounded Differential Privacy","Kamalika Chaudhuri, Jacob Imola, Ashwin Machanavajjhala","2019","https://papers.nips.cc/paper_files/paper/2019/file/04df4d434d481c5bb723be1b6df1ee65-Paper.pdf"
"Information-Theoretic Generalization Bounds for SGLD via Data-Dependent Estimates","Jeffrey Negrea, Mahdi Haghifam, Gintare Karolina Dziugaite, Ashish Khisti, Daniel M. Roy","2019","https://papers.nips.cc/paper_files/paper/2019/file/05ae14d7ae387b93370d142d82220f1b-Paper.pdf"
"Efficient Algorithms for Smooth Minimax Optimization","Kiran K. Thekumparampil, Prateek Jain, Praneeth Netrapalli, Sewoong Oh","2019","https://papers.nips.cc/paper_files/paper/2019/file/05d0abb9a864ae4981e933685b8b915c-Paper.pdf"
"Uniform convergence may be unable to explain generalization in deep learning","Vaishnavh Nagarajan, J. Zico Kolter","2019","https://papers.nips.cc/paper_files/paper/2019/file/05e97c207235d63ceb1db43c60db7bbb-Paper.pdf"
"First order expansion of convex regularized estimators","Pierre Bellec, Arun Kuchibhotla","2019","https://papers.nips.cc/paper_files/paper/2019/file/0609154fa35b3194026346c9cac2a248-Paper.pdf"
"Robust exploration in linear quadratic reinforcement learning","Jack Umenberger, Mina Ferizbegovic, Thomas B. Schön, Håkan Hjalmarsson","2019","https://papers.nips.cc/paper_files/paper/2019/file/060fd70a06ead2e1079d27612b84aff4-Paper.pdf"
"Modeling Uncertainty by Learning a Hierarchy of Deep Neural Connections","Raanan Yehezkel Rohekar, Yaniv Gurwicz, Shami Nisimov, Gal Novik","2019","https://papers.nips.cc/paper_files/paper/2019/file/063e26c670d07bb7c4d30e6fc69fe056-Paper.pdf"
